Datetime,TAVG
5/30/2013,77
5/31/2013,74
6/1/2013,73
6/2/2013,71
6/3/2013,65
6/4/2013,65
6/5/2013,69
6/6/2013,69
6/7/2013,68
6/8/2013,68
6/9/2013,71
6/10/2013,69
6/11/2013,72
6/12/2013,78
6/13/2013,78
6/14/2013,69
6/15/2013,72
6/16/2013,72
6/17/2013,74
6/18/2013,74
6/19/2013,70
6/20/2013,74
6/21/2013,76
6/22/2013,76
6/23/2013,74
6/24/2013,75
6/25/2013,77
6/26/2013,75
6/27/2013,73
6/28/2013,78
6/29/2013,69
6/30/2013,71
7/1/2013,70
7/2/2013,71
7/3/2013,73
7/4/2013,71
7/5/2013,70
7/6/2013,71
7/7/2013,71
7/8/2013,76
7/9/2013,80
7/10/2013,80
7/11/2013,74
7/12/2013,72
7/13/2013,75
7/14/2013,79
7/15/2013,81
7/16/2013,82
7/17/2013,83
7/18/2013,84
7/19/2013,81
7/20/2013,80
7/21/2013,77
7/22/2013,74
7/23/2013,76
7/24/2013,71
7/25/2013,69
7/26/2013,70
7/27/2013,69
7/28/2013,64
7/29/2013,67
7/30/2013,69
7/31/2013,70
8/1/2013,73
8/2/2013,70
8/3/2013,73
8/4/2013,71
8/5/2013,69
8/6/2013,73
8/7/2013,75
8/8/2013,76
8/9/2013,75
8/10/2013,77
8/11/2013,78
8/12/2013,74
8/13/2013,74
8/14/2013,63
8/15/2013,65
8/16/2013,68
8/17/2013,72
8/18/2013,72
8/19/2013,74
8/20/2013,75
8/21/2013,76
8/22/2013,76
8/23/2013,74
8/24/2013,76
8/25/2013,75
8/26/2013,75
8/27/2013,79
8/28/2013,82
8/29/2013,81
8/30/2013,78
8/31/2013,79
9/1/2013,74
9/2/2013,77
9/3/2013,69
9/4/2013,68
9/5/2013,71
9/6/2013,71
9/7/2013,71
9/8/2013,76
9/9/2013,79
9/10/2013,81
9/11/2013,78
9/12/2013,76
9/13/2013,64
9/14/2013,59
9/15/2013,63
9/16/2013,66
9/17/2013,64
9/18/2013,67
9/19/2013,69
9/20/2013,73
9/21/2013,67
9/22/2013,60
9/23/2013,59
9/24/2013,60
9/25/2013,65
9/26/2013,63
9/27/2013,67
9/28/2013,67
9/29/2013,63
9/30/2013,64
10/1/2013,67
10/2/2013,67
10/3/2013,71
10/4/2013,72
10/5/2013,72
10/6/2013,67
10/7/2013,54
10/8/2013,54
